# Investor email queue (extra file for tracker follow-up sync)
# Campaign: user-provided VC/angel list. Human paste into Zoho as founder@verdansc.com.
# Not auto-send. Not the scraped-PM cold-email gate.
# Window: 10:00–10:50 America/Denver, weekdays only, 6 notes/day (under the 5–8 cap).
# Status: queued. Do not put the compiled email list in this file.
# Phone tracker PWA (outreach-tracker/slots.js on cursor/outreach-phone-tracker-6306) does not include these I-slots yet.
id,datetime_mt,channel,copy_path,ad_path,audience,from_address,mail_system,cta,status,variant,notes
I01,2026-09-03 10:00:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,angel,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I16,2026-09-07 10:30:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,generalist,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I17,2026-09-07 10:40:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,angel,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I18,2026-09-07 10:50:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,seed,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I19,2026-09-08 10:00:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,proptech,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I20,2026-09-08 10:10:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,generalist,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I21,2026-09-08 10:20:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,angel,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I22,2026-09-08 10:30:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,seed,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I23,2026-09-08 10:40:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,proptech,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I24,2026-09-08 10:50:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,generalist,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I25,2026-09-09 10:00:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,angel,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I26,2026-09-09 10:10:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,seed,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I27,2026-09-09 10:20:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,proptech,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I28,2026-09-09 10:30:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,generalist,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I29,2026-09-09 10:40:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,angel,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
I30,2026-09-09 10:50:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract (marketing/investors/contacts.extracted.json); tokens [FIRST_NAME] [FIRM] [THESIS]; one To: address; no blast,founder@verdansc.com,Zoho Mail (human paste; no auto-send),https://www.verdansc.com/pitch,queued,seed,User-provided VC/angel list. Separate from scraped-PM cold email. Do not auto-send. Phone tracker slots.js is on another branch — follow-up sync.
