id,datetime_mt,channel,copy_path,ad_path,audience,facebook_group,from_address,mail_system,craigslist_account,cta,status
I05,2026-09-03 10:40:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I06,2026-09-03 10:50:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I07,2026-09-04 10:00:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I08,2026-09-04 10:10:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I09,2026-09-04 10:20:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I10,2026-09-04 10:30:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I11,2026-09-04 10:40:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I12,2026-09-04 10:50:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I13,2026-09-07 10:00:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I14,2026-09-07 10:10:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I15,2026-09-07 10:20:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I16,2026-09-07 10:30:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I17,2026-09-07 10:40:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I18,2026-09-07 10:50:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I19,2026-09-08 10:00:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I20,2026-09-08 10:10:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I21,2026-09-08 10:20:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I22,2026-09-08 10:30:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I23,2026-09-08 10:40:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I24,2026-09-08 10:50:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I25,2026-09-09 10:00:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I26,2026-09-09 10:10:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I27,2026-09-09 10:20:00,investor_email,marketing/investors/templates/proptech.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next proptech contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I28,2026-09-09 10:30:00,investor_email,marketing/investors/templates/generalist.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next generalist contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I29,2026-09-09 10:40:00,investor_email,marketing/investors/templates/angel.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next angel contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
I30,2026-09-09 10:50:00,investor_email,marketing/investors/templates/seed.md,marketing/ads/exports/verdansc-split-ad-4x5.jpg,Next seed contact from local gitignored extract; tokens [FIRST_NAME] [FIRM] [THESIS]; human Zoho paste; no blast,,founder@verdansc.com,Zoho Mail (human paste; no auto-send),,https://www.verdansc.com/pitch,queued
